City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
367,Torit,SS,84.61,few clouds,4.4133,32.5678,Diplomat Guest House
368,Goundam,ML,89.19,scattered clouds,16.4145,-3.6708,
370,Madaoua,NE,88.38,overcast clouds,14.073,5.96,
371,Bacolod,PH,79.39,overcast clouds,10.6667,122.95,Planta Hotel & Residences
381,Kutum,SD,75.87,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
382,Akyab,MM,76.53,scattered clouds,20.15,92.9,Hotel Memory
387,Miranda,CO,82.53,overcast clouds,3.2499,-76.2281,unidiversidad organica la utopia
391,George Town,MY,78.75,few clouds,5.4112,100.3354,Cititel Penang
394,Edd,ER,79.93,scattered clouds,13.9297,41.6925,
397,Almeirim,BR,78.42,overcast clouds,-1.5233,-52.5817,Ricácio Hotel
399,Russell,US,75.11,clear sky,32.3502,-85.1999,Macs
401,Cascavel,BR,78.4,clear sky,-24.9558,-53.4553,Copas Executive Hotel
402,Valparaiso,CL,76.64,clear sky,-33.0393,-71.6273,Hotel Ultramar
404,Poum,NC,79.84,overcast clouds,-20.2333,164.0167,
413,Sillod,IN,81.72,clear sky,20.3,75.65,पवन
414,Chiang Rai,TH,75.18,clear sky,19.9167,99.9167,Bansaeo Garden and Resort
415,Sokoni,TZ,81.88,overcast clouds,-6.4333,39.55,Ujamaa Beach Resort
417,San-Pedro,CI,79.83,overcast clouds,4.7485,-6.6363,Hotel Maria
423,Sola,VU,81.59,overcast clouds,-13.8833,167.55,Leumerus Bungalows
426,Pangai,TO,82.26,overcast clouds,-19.8,-174.35,Ha'apai Beach Resort
428,San Pedro,PH,81.63,few clouds,14.35,121.0167,Esquivel's Garden And Resort
429,Mabaruma,GY,84.2,broken clouds,8.2,-59.7833,Monty Brooms Guest House
434,Angoche,MZ,75.72,broken clouds,-16.2325,39.9086,Guest House HESADA
437,Namibe,AO,75.18,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
439,Port Blair,IN,75.24,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
441,Alvorada,BR,88.75,overcast clouds,-12.48,-49.1247,Cristal Plaza Hotel
445,Lakatoro,VU,77.92,heavy intensity rain,-16.0999,167.4164,Lakatoro Palm Lodge
446,Trairi,BR,82.44,heavy intensity rain,-3.2778,-39.2689,janelas do mar
449,Maceio,BR,76.44,moderate rain,-9.6658,-35.7353,Hotel Ponta Verde Maceió
450,Kavieng,PG,80.82,light rain,-2.5744,150.7967,Nusa Island Retreat
455,Harper,LR,80.4,scattered clouds,4.375,-7.7169,Screensaver
456,Calama,CL,75.24,clear sky,-22.4667,-68.9333,Park Hotel Calama
457,Spring Hill,US,83.98,clear sky,28.4769,-82.5255,Room of The world By traveline Plus
463,Kirakira,SB,79.41,broken clouds,-10.4544,161.9205,SanBiz Lodge
464,Sinnamary,GF,79.07,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
465,The Valley,AI,84.06,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
470,Santa Fe,AR,79.02,clear sky,-31.6333,-60.7,Conquistador Hotel
479,Luanda,AO,82.4,scattered clouds,-8.8368,13.2343,EPIC SANA Luanda
481,Hoshangabad,IN,82.62,clear sky,22.75,77.7167,NAMAN NARMADA
484,Salinopolis,BR,78.82,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
486,Itarema,BR,82.85,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
489,Bahia Honda,CU,80.46,scattered clouds,22.9036,-83.1592,Casa Gualberto - Deysi
492,Caravelas,BR,81.34,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
494,Garh Maharaja,PK,76.91,clear sky,30.8339,71.9053,Zaki Pansar Shop
495,Saint-Joseph,RE,79.18,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
496,Keffi,NG,89.91,overcast clouds,8.8486,7.8736,Imam Family
497,Chalmette,US,78.01,clear sky,29.9427,-89.9634,Marina Inn & Suites Chalmette-New Orleans
504,Tecoanapa,MX,87.22,clear sky,16.5167,-98.75,Hotel Manglares
506,Yola,NG,89.92,overcast clouds,9.2,12.4833,Muna Hotel
512,Les Cayes,HT,82.72,broken clouds,18.2,-73.75,Villa Orphee
513,Pawa,PH,77.4,overcast clouds,13.1747,123.7328,Hotel St. Ellis
514,Trinidad,BO,87.78,few clouds,-14.8333,-64.9,Hotel Piesta
518,Puerto Colombia,CO,87.89,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
523,Sao Felix Do Xingu,BR,80.11,moderate rain,-6.6447,-51.995,Rio Xingu Camping
524,Dwarka,IN,76.26,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
525,Banda Aceh,ID,80.19,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
540,Cap Malheureux,MU,79.47,scattered clouds,-19.9842,57.6142,Pereybere Hotel & Spa
541,Kapoeta,SS,84.94,clear sky,4.7717,33.5903,Eastgate Hotel
549,Kembe,CF,81.3,clear sky,4.6228,21.8865,
557,Cardoso,BR,79.16,overcast clouds,-20.0819,-49.9142,EmilioTur Pescaria
561,Adrar,MR,77.79,clear sky,20.5022,-10.0711,
567,Japura,ID,76.14,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
570,Norsup,VU,78.19,heavy intensity rain,-16.0667,167.3833,Nabelchel Bungalows
573,Daru,PG,79.57,moderate rain,-9.0763,143.2092,Daru Lodge
575,Amahai,ID,77.81,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
577,Baracoa,CU,81.27,scattered clouds,20.3467,-74.4958,Hostal Rio Miel
578,Alta Floresta,BR,87.62,few clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
582,Meulaboh,ID,76.84,overcast clouds,4.1363,96.1285,Kost Pria
592,Labuan,MY,77.36,few clouds,5.2767,115.2417,Tiara Labuan Hotel
599,Hobyo,SO,79.07,broken clouds,5.3505,48.5268,Iftin hotel hobyo
600,Harlingen,US,84.11,few clouds,26.1906,-97.6961,Courtyard by Marriott Harlingen
601,Katherine,AU,79.12,overcast clouds,-14.4667,132.2667,Pine Tree Motel
602,La Romana,DO,88.16,scattered clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
604,Chimbarongo,CL,80.73,clear sky,-34.7,-71.05,Hostal Ruka Kamañ
607,Urucara,BR,80.28,light rain,-2.5364,-57.76,Pousada Maria Bonita
609,Takoradi,GH,81.81,scattered clouds,4.8845,-1.7554,Raybow International Hotel
611,Banyo,CM,78.15,overcast clouds,6.75,11.8167,Motel JOMBA
615,Rio Grande,BR,75.31,overcast clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
616,Dondo,MZ,78.31,scattered clouds,-19.6094,34.7431,Arco Iris
621,Hambantota,LK,80.94,few clouds,6.1241,81.1185,Bungalow 63
626,Kidal,ML,84.69,clear sky,18.4411,1.4078,
627,Wanlaweyn,SO,78.75,few clouds,2.6185,44.8938,GAASHAAN HOME
629,Mahibadhoo,MV,82.98,clear sky,3.7833,72.9667,Omadhoo Inn
631,Teluknaga,ID,81.63,few clouds,-6.0989,106.6381,Kost Mewah (Mepet Sawah)
636,Srandakan,ID,77.32,overcast clouds,-7.9386,110.2506,Puri Brata
641,Roura,GF,84.11,broken clouds,4.7263,-52.3274,Amazonie Découverte SARL
645,Ratnagiri,IN,77.11,clear sky,16.9833,73.3,Hotel Landmark
648,Anori,BR,76.78,overcast clouds,-3.7728,-61.6442,Novo Hotel 5 Irmãos
649,Pili,PH,75.16,overcast clouds,13.5833,123.3,Magindara Guesthouse
652,Tadine,NC,76.05,overcast clouds,-21.55,167.8833,
656,Alyangula,AU,75.07,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
657,Anloga,GH,83.48,overcast clouds,5.7947,0.8973,Pin Drop Hotel
672,Saquarema,BR,78.94,overcast clouds,-22.92,-42.5103,Hotel Fazenda Sol e Lua
674,Niquero,CU,85.17,few clouds,20.0431,-77.5828,Islazul Niquero
679,Lagunas,PE,80.26,overcast clouds,-5.2269,-75.6753,Hospedaje Eco
686,Banswada,IN,85.01,scattered clouds,18.3833,77.8833,KBR
689,Garowe,SO,75.0,clear sky,8.4054,48.4845,Curubo Hotel
694,Padang,ID,77.05,overcast clouds,-0.9492,100.3543,Mercure Padang
