City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Nanortalik,GL,60.1432,-45.2371,23.5,80,10,3.74,clear sky
80,Hanna,CA,51.6334,-111.9018,42.85,33,85,13.0,overcast clouds
81,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,95.38,29,92,9.55,overcast clouds
82,Hithadhoo,MV,-0.6,73.0833,83.98,74,74,17.76,broken clouds
83,Leh,IN,34.1667,77.5833,18.46,69,23,2.95,few clouds
84,Butaritari,KI,3.0707,172.7902,80.44,79,94,15.05,light rain
85,Kapaa,US,22.0752,-159.319,76.19,92,0,10.36,clear sky
86,Broome,US,42.2506,-75.833,54.7,45,0,20.71,clear sky
87,Novikovo,RU,51.1537,37.8879,34.09,92,91,13.04,overcast clouds
88,Port Alfred,ZA,-33.5906,26.891,73.08,86,0,12.08,clear sky
89,Bengkulu,ID,-3.8004,102.2655,75.96,86,96,3.87,overcast clouds
90,Katsina,NG,12.9894,7.6006,90.14,11,100,7.87,overcast clouds
91,Marfino,RU,55.7028,37.3822,44.85,39,0,4.47,clear sky
92,Manggar,ID,-2.8833,108.2667,80.49,78,100,5.82,overcast clouds
93,Mount Isa,AU,-20.7333,139.5,69.57,64,5,1.14,light rain
94,Boma,GH,7.0805,-2.1697,80.22,75,100,2.04,light rain
95,Mitsamiouli,KM,-11.3847,43.2844,79.09,89,20,5.75,few clouds
96,Bluff,NZ,-46.6,168.3333,59.43,81,21,13.2,few clouds
97,Kodiak,US,57.79,-152.4072,36.91,60,0,13.8,clear sky
98,La Solana,ES,38.9442,-3.2381,50.2,82,100,2.71,overcast clouds
99,Kruisfontein,ZA,-34.0033,24.7314,65.88,91,0,6.49,clear sky
100,Aklavik,CA,68.2191,-135.0107,-5.96,88,100,2.08,overcast clouds
101,Mayna,RU,54.1135,47.6231,23.23,86,8,9.91,clear sky
102,Anchorage,US,61.2181,-149.9003,27.55,63,0,6.91,clear sky
103,Bereznik,RU,62.8551,42.7072,33.55,94,100,7.23,overcast clouds
104,Chuy,UY,-33.6971,-53.4616,71.56,47,11,18.34,few clouds
105,Razdolinsk,RU,58.4211,94.6658,14.65,98,100,3.94,overcast clouds
106,Puerto Ayora,EC,-0.7393,-90.3518,84.16,88,68,7.0,broken clouds
107,Esperance,AU,-33.8667,121.9,58.84,71,99,14.47,overcast clouds
108,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,30.79,55,75,11.18,broken clouds
109,Slave Lake,CA,55.2834,-114.769,35.58,44,100,0.0,overcast clouds
110,Whitehorse,CA,60.7161,-135.0538,30.09,86,75,5.75,light snow
111,Loandjili,CG,-4.7561,11.8578,82.51,83,75,6.91,broken clouds
112,Hurricane,US,37.1753,-113.2899,57.87,21,63,13.27,broken clouds
113,Mehamn,NO,71.0357,27.8492,33.71,93,100,41.43,light shower snow
114,Alofi,NU,-19.0595,-169.9187,75.09,94,40,2.3,scattered clouds
115,Baiyin,CN,36.5583,104.2081,43.03,64,100,7.52,overcast clouds
116,Ixtapa,MX,20.7,-105.2,74.43,53,75,8.05,broken clouds
