City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Bandarban,BD,2022-03-20 16:12:51,22.1965,92.2262,68.16,56,10,3.18
68,Yellowknife,CA,2022-03-20 16:12:52,62.456,-114.3525,22.41,99,100,1.01
69,Sumter,US,2022-03-20 16:12:52,28.7086,-82.0831,72.01,66,66,11.27
70,Tiksi,RU,2022-03-20 16:12:52,71.6872,128.8694,9.14,79,100,16.55
71,Tamandare,BR,2022-03-20 16:12:53,-8.7597,-35.1047,84.36,66,40,8.39
72,Atar,MR,2022-03-20 16:12:53,20.5169,-13.0499,91.71,9,0,7.2
73,Saldanha,ZA,2022-03-20 16:12:54,-33.0117,17.9442,69.13,79,37,16.28
74,Griffith,US,2022-03-20 16:12:55,41.5284,-87.4237,52.38,68,0,4.0
75,San Vicente,AR,2022-03-20 16:12:56,-26.6167,-54.1333,80.44,42,1,5.26
76,Puerto Asis,CO,2022-03-20 16:12:56,0.5133,-76.5007,78.04,85,92,1.05
77,Dergaon,IN,2022-03-20 16:12:56,26.7,93.9667,80.24,30,1,7.2
78,Sao Filipe,CV,2022-03-20 16:12:57,14.8961,-24.4956,70.95,67,7,11.5
79,Batagay-Alyta,RU,2022-03-20 16:12:57,67.8006,130.4114,-25.62,91,6,6.24
80,Talnakh,RU,2022-03-20 16:12:58,69.4865,88.3972,5.05,96,99,3.31
81,Castro,BR,2022-03-20 16:09:45,-24.7911,-50.0119,65.77,85,98,8.08
82,High River,CA,2022-03-20 16:12:59,50.5834,-113.8687,32.16,88,100,25.34
83,Kollo,NE,2022-03-20 16:13:01,13.3043,2.339,104.72,8,11,2.62
84,Acari,PE,2022-03-20 16:13:01,-15.4311,-74.6158,81.07,55,86,9.28
85,Kapaa,US,2022-03-20 16:14:02,22.0752,-159.319,70.12,87,100,6.91
86,Port Alfred,ZA,2022-03-20 16:14:02,-33.5906,26.891,73.33,73,33,11.9
87,Hilo,US,2022-03-20 16:14:02,19.7297,-155.09,70.25,93,100,5.75
88,Airai,TL,2022-03-20 16:14:03,-8.9266,125.4092,61.36,93,64,0.81
89,Alofi,NU,2022-03-20 16:14:05,-19.0595,-169.9187,80.91,76,73,13.15
90,Zhigansk,RU,2022-03-20 16:12:12,66.7697,123.3711,7.86,89,100,22.41
91,Dickinson,US,2022-03-20 16:14:05,29.4608,-95.0513,70.16,59,0,16.11
92,Rivas,NI,2022-03-20 16:14:06,11.4372,-85.8263,83.08,65,62,25.66
93,San Quintin,MX,2022-03-20 16:14:07,30.4833,-115.95,58.93,68,54,18.28
94,West Lafayette,US,2022-03-20 16:14:07,40.4259,-86.9081,53.31,62,0,4.61
95,Carnarvon,AU,2022-03-20 16:14:08,-24.8667,113.6333,77.07,78,11,19.57
96,Tuktoyaktuk,CA,2022-03-20 16:14:09,69.4541,-133.0374,-13.58,96,100,7.76
97,Ribeira Grande,PT,2022-03-20 16:14:09,38.5167,-28.7,63.0,72,40,17.27
98,Auki,SB,2022-03-20 16:14:10,-8.7676,160.7034,78.85,85,100,5.61
99,Muroto,JP,2022-03-20 16:14:10,33.2833,134.15,52.29,72,100,4.72
100,Vaini,TO,2022-03-20 16:14:10,-21.2,-175.2,79.14,65,100,8.66
101,Santa Cruz,BO,2022-03-20 16:14:11,-17.8,-63.1667,77.05,61,75,16.11
102,Cockburn Town,TC,2022-03-20 16:14:11,21.4612,-71.1419,77.45,76,17,21.21
103,Flinders,AU,2022-03-20 16:14:12,-34.5833,150.8552,64.18,88,88,3.0
104,Nuevo Casas Grandes,MX,2022-03-20 16:14:13,30.4167,-107.9167,62.74,16,0,10.74
105,Fortuna,US,2022-03-20 16:14:13,40.5982,-124.1573,40.98,94,0,0.0
106,Nizwa,OM,2022-03-20 16:14:13,22.9333,57.5333,79.29,16,0,2.37
107,Chuy,UY,2022-03-20 16:14:14,-33.6971,-53.4616,65.75,39,9,11.1
108,Kolosovka,RU,2022-03-20 16:14:14,56.4678,73.611,16.57,92,100,17.78
109,Butaritari,KI,2022-03-20 16:14:14,3.0707,172.7902,80.19,82,27,17.92
110,Vesele,UA,2022-03-20 16:14:15,47.0148,34.915,33.91,50,0,9.95
111,Aksarka,RU,2022-03-20 16:14:15,66.5606,67.7975,16.21,95,99,6.6
112,Deputatskiy,RU,2022-03-20 16:12:18,69.3,139.9,-15.81,90,14,3.83
113,Chara,RU,2022-03-20 16:14:16,56.9064,118.2631,-2.99,71,34,3.38
114,Gurupa,BR,2022-03-20 16:14:16,-1.405,-51.64,82.4,80,79,3.44
115,Puerto Ayora,EC,2022-03-20 16:14:18,-0.7393,-90.3518,85.96,74,62,6.24
116,Torbay,CA,2022-03-20 16:14:18,47.6666,-52.7314,33.28,61,100,1.99
117,Atuona,PF,2022-03-20 16:10:27,-9.8,-139.0333,78.93,77,17,17.09
118,Kavieng,PG,2022-03-20 16:14:19,-2.5744,150.7967,82.96,73,100,14.41
119,Mwinilunga,ZM,2022-03-20 16:14:20,-11.7358,24.4293,69.19,90,46,4.18
120,Tukrah,LY,2022-03-20 16:14:21,32.5341,20.5791,48.58,81,100,19.04
121,Majene,ID,2022-03-20 16:11:56,-3.5403,118.9707,76.69,88,100,5.93
122,Baruun-Urt,MN,2022-03-20 16:14:22,46.6806,113.2792,13.8,47,86,1.28
123,Shingu,JP,2022-03-20 16:14:23,33.7333,135.9833,46.24,68,100,5.68
124,Pevek,RU,2022-03-20 16:12:18,69.7008,170.3133,-8.81,84,5,8.84
125,Beira,MZ,2022-03-20 16:14:24,-19.8436,34.8389,80.69,61,40,6.91
126,Punta Arenas,CL,2022-03-20 16:11:11,-53.15,-70.9167,50.11,76,75,4.61
127,Tautira,PF,2022-03-20 16:14:26,-17.7333,-149.15,81.93,74,100,18.61
128,Coihaique,CL,2022-03-20 16:14:26,-45.5752,-72.0662,63.21,62,0,6.91
129,Rongcheng,CN,2022-03-20 16:14:27,30.634,117.8517,45.14,96,100,6.38
130,Lorengau,PG,2022-03-20 16:14:29,-2.0226,147.2712,82.47,73,54,4.0
131,Elbistan,TR,2022-03-20 16:14:31,38.2059,37.1983,25.03,76,97,5.41
132,East London,ZA,2022-03-20 16:14:32,-33.0153,27.9116,73.65,75,66,10.65
133,Berlevag,NO,2022-03-20 16:15:32,70.8578,29.0864,35.6,98,100,6.98
134,Riohacha,CO,2022-03-20 16:15:34,11.5444,-72.9072,89.71,48,75,16.11
135,Panorama,GR,2022-03-20 16:15:35,40.5878,23.0315,45.39,35,0,6.91
136,Hofn,IS,2022-03-20 16:15:35,64.2539,-15.2082,44.62,53,0,20.71
137,Beloha,MG,2022-03-20 16:15:36,-25.1667,45.05,68.86,77,18,12.53
138,Matveyevka,RU,2022-03-20 16:15:36,52.15,56.1833,21.45,95,100,14.05
139,Tsabong,BW,2022-03-20 16:15:37,-26.0217,22.401,72.66,59,77,2.59
140,Sitka,US,2022-03-20 16:15:37,57.0531,-135.33,37.29,65,75,12.66
141,Bougouni,ML,2022-03-20 16:15:38,11.417,-7.479,97.54,24,100,3.67
142,Hithadhoo,MV,2022-03-20 16:15:38,-0.6,73.0833,83.59,74,97,16.15
143,Hamilton,US,2022-03-20 16:15:02,39.1834,-84.5333,54.61,58,20,12.66
144,Hasaki,JP,2022-03-20 16:15:40,35.7333,140.8333,43.2,80,100,17.83
145,Pabrade,LT,2022-03-20 16:15:41,55.0,25.7833,47.17,68,5,3.98
146,Linfen,CN,2022-03-20 16:15:42,36.0889,111.5189,51.4,52,83,4.88
147,Saint-Philippe,RE,2022-03-20 16:15:43,-21.3585,55.7679,74.79,83,100,11.9
148,Cherskiy,RU,2022-03-20 16:15:43,68.75,161.3,-13.94,100,74,1.77
149,Cordoba,AR,2022-03-20 16:15:31,-31.4135,-64.1811,65.75,56,75,12.66
150,Ponta Do Sol,PT,2022-03-20 16:15:44,32.6667,-17.1,65.03,66,71,12.82
151,Mar Del Plata,AR,2022-03-20 16:15:44,-38.0023,-57.5575,60.82,65,0,11.99
152,Avera,US,2022-03-20 16:15:45,33.194,-82.5271,63.37,35,0,12.84
153,Bako,ET,2022-03-20 16:15:45,5.7833,36.5667,71.38,58,99,4.47
154,Gushikawa,JP,2022-03-20 16:15:46,26.3544,127.8686,69.8,77,100,8.05
155,Sao Felix Do Xingu,BR,2022-03-20 16:15:47,-6.6447,-51.995,73.36,97,100,2.15
156,Christchurch,NZ,2022-03-20 16:14:36,-43.5333,172.6333,58.95,90,75,2.3
157,Saint-Joseph,RE,2022-03-20 16:15:47,-21.3667,55.6167,73.78,84,100,11.41
158,Norman Wells,CA,2022-03-20 16:15:48,65.282,-126.8329,-11.16,70,20,3.44
159,Kilimatinde,TZ,2022-03-20 16:15:48,-5.85,34.95,72.5,73,100,3.91
160,Nanortalik,GL,2022-03-20 16:15:49,60.1432,-45.2371,16.84,72,13,15.59
161,Arraial Do Cabo,BR,2022-03-20 16:15:50,-22.9661,-42.0278,87.76,66,20,9.22
162,Sioux Lookout,CA,2022-03-20 16:15:51,50.1001,-91.917,37.47,65,40,4.61
163,Khatanga,RU,2022-03-20 16:15:52,71.9667,102.5,7.95,97,100,3.94
164,Puerto Ayacucho,VE,2022-03-20 16:15:52,5.6639,-67.6236,91.56,50,87,2.82
165,Cururupu,BR,2022-03-20 16:15:53,-1.8283,-44.8683,79.93,87,88,1.48
166,Saint-Louis,SN,2022-03-20 16:15:53,16.3333,-15.0,97.68,9,1,6.42
167,Sumkino,RU,2022-03-20 16:15:54,58.1108,68.3244,30.67,96,100,10.36
168,Port Lincoln,AU,2022-03-20 16:15:55,-34.7333,135.8667,64.04,89,35,6.76
169,Piranhas,BR,2022-03-20 16:15:55,-16.4269,-51.8222,88.09,55,16,3.89
170,Trelew,AR,2022-03-20 16:15:56,-43.249,-65.3051,68.67,40,100,31.88
171,Sorong,ID,2022-03-20 16:15:57,-0.8833,131.25,77.41,89,100,5.23
172,Ixtapa,MX,2022-03-20 16:15:57,20.7,-105.2,72.63,56,0,0.0
